State,P(Fsys | state),Ï€_ij
01111,0.0,1.0
00001,0.0,1.0
11101,0.0,1.0
11100,0.0,1.0
11011,0.0,1.0
11010,0.0,1.0
11000,0.0,1.0
10111,0.0,1.0
10110,0.0,1.0
10100,0.0,1.0
10011,0.0,1.0
11110,0.0,1.0
00100,0.0,1.0
01011,0.0,1.0
00010,0.0,1.0
01010,0.0,1.0
00011,0.0,1.0
00111,0.0,1.0
00110,0.0,1.0
00101,0.0,1.0
01000,4.950000000000001e-05,0.4999802523571282
00000,0.0001,0.4999601057720263
01001,0.0004455000000000001,0.49982227121996015
10000,0.00495,0.49802524377642693
01110,0.00893475,0.4964355978844725
11001,0.0441045,0.4824105528978549
10010,0.9405,0.17348057482740947
01100,1.0,0.15865525393145707
01101,1.0,0.15865525393145707
10001,1.0,0.15865525393145707
10101,1.0,0.15865525393145707
